Date,PM2.5 Mean
2020-11-17,9.655
2020-11-18,9.605294117647059
2020-11-19,9.555588235294117
2020-11-20,9.505882352941176
2020-11-21,9.456176470588236
2020-11-22,9.406470588235294
2020-11-23,9.356764705882354
2020-11-24,9.307058823529411
2020-11-25,9.257352941176471
2020-11-26,9.207647058823529
2020-11-27,9.157941176470588
2020-11-28,9.108235294117646
2020-11-29,9.058529411764706
2020-11-30,9.008823529411766
2020-12-01,8.959117647058823
2020-12-02,8.909411764705883
2020-12-03,8.85970588235294
2020-12-04,8.81
2020-12-05,8.760294117647058
2020-12-06,8.710588235294118
2020-12-07,8.660882352941176
2020-12-08,8.611176470588235
2020-12-09,8.561470588235293
2020-12-10,8.511764705882353
2020-12-11,8.462058823529413
2020-12-12,8.41235294117647
2020-12-13,8.36264705882353
2020-12-14,8.312941176470588
2020-12-15,8.263235294117647
2020-12-16,8.213529411764705
2020-12-17,8.163823529411765
2020-12-18,8.114117647058823
2020-12-19,8.064411764705882
2020-12-20,8.014705882352942
2020-12-21,7.965
2020-12-22,7.915294117647059
2020-12-23,7.865588235294117
2020-12-24,7.815882352941176
2020-12-25,7.766176470588236
2020-12-26,7.716470588235294
2020-12-27,7.666764705882353
2020-12-28,7.617058823529412
2020-12-29,7.567352941176471
2020-12-30,7.517647058823529
2020-12-31,7.467941176470588
2021-01-01,7.418235294117647
2021-01-02,7.3685294117647056
2021-01-03,7.318823529411764
2021-01-04,7.269117647058824
2021-01-05,7.219411764705883
2021-01-06,7.169705882352941
2021-01-07,7.12
2021-01-08,7.070294117647059
2021-01-09,7.020588235294118
2021-01-10,6.970882352941176
2021-01-11,6.921176470588235
2021-01-12,6.871470588235294
2021-01-13,6.821764705882353
2021-01-14,6.772058823529412
2021-01-15,6.722352941176471
2021-01-16,6.67264705882353
2021-01-17,6.622941176470588
2021-01-18,6.573235294117647
2021-01-19,6.523529411764706
2021-01-20,6.4738235294117645
2021-01-21,6.424117647058823
2021-01-22,6.374411764705882
2021-01-23,6.324705882352942
2021-01-24,6.275
2021-01-25,6.225294117647059
2021-01-26,6.175588235294118
2021-01-27,6.125882352941177
2021-01-28,6.076176470588235
2021-01-29,6.026470588235294
2021-01-30,5.976764705882353
2021-01-31,5.9270588235294115
2021-02-01,5.87735294117647
2021-02-02,5.82764705882353
2021-02-03,5.777941176470589
2021-02-04,5.728235294117647
2021-02-05,5.678529411764706
2021-02-06,5.628823529411765
2021-02-07,5.5791176470588235
2021-02-08,5.529411764705882
2021-02-09,5.479705882352941
2021-02-10,5.43
2021-02-11,4.42
2021-02-12,3.57
2021-02-13,4.72
2021-02-14,5.79
2021-02-15,9.17
2021-02-16,7.78
2021-02-17,5.81
2021-02-18,6.64
2021-02-19,6.0
2021-02-20,7.17
2021-02-21,6.0
2021-02-22,9.86
2021-02-23,8.788
2021-02-24,7.715999999999999
2021-02-25,6.644
2021-02-26,5.572
2021-02-27,4.5
2021-02-28,4.5
2021-03-01,6.65
2021-03-02,8.76
2021-03-03,8.57
2021-03-04,8.48
2021-03-05,6.59
2021-03-06,0.0
2021-03-07,5.3
2021-03-08,5.3
2021-03-09,3.4
2021-03-10,1.71
2021-03-11,1.55
2021-03-12,6.26
2021-03-13,5.0
2021-03-14,2.44
2021-03-15,4.59
2021-03-16,4.0
2021-03-17,4.11
2021-03-18,5.65
2021-03-19,3.17
2021-03-20,2.18
2021-03-21,4.75
2021-03-22,6.18
2021-03-23,1.43
2021-03-24,6.4
2021-03-25,7.68
2021-03-26,6.9
2021-03-27,9.38
2021-03-28,7.47
2021-03-29,10.9
2021-03-30,8.31
2021-03-31,14.4
2021-04-01,8.25
2021-04-02,8.25
2021-04-03,5.77
2021-04-04,4.17
2021-04-05,4.5
2021-04-06,8.55
2021-04-07,7.0
2021-04-08,6.2
2021-04-09,8.88
2021-04-10,8.54
2021-04-11,8.391363636363636
2021-04-12,8.242727272727272
2021-04-13,8.094090909090909
2021-04-14,7.945454545454544
2021-04-15,7.796818181818181
2021-04-16,7.6481818181818175
2021-04-17,7.499545454545454
2021-04-18,7.35090909090909
2021-04-19,7.202272727272726
2021-04-20,7.053636363636363
2021-04-21,6.904999999999999
2021-04-22,6.756363636363636
2021-04-23,6.6077272727272724
2021-04-24,6.459090909090908
2021-04-25,6.310454545454545
2021-04-26,6.161818181818181
2021-04-27,6.013181818181818
2021-04-28,5.864545454545454
2021-04-29,5.71590909090909
2021-04-30,5.5672727272727265
2021-05-01,5.418636363636363
2021-05-02,5.27
2021-05-03,5.121363636363636
2021-05-04,4.972727272727273
2021-05-05,4.824090909090908
2021-05-06,4.675454545454545
2021-05-07,4.526818181818181
2021-05-08,4.378181818181818
2021-05-09,4.2295454545454545
2021-05-10,4.08090909090909
2021-05-11,3.9322727272727267
2021-05-12,3.7836363636363632
2021-05-13,3.635
2021-05-14,3.486363636363636
2021-05-15,3.3377272727272724
2021-05-16,3.1890909090909085
2021-05-17,3.040454545454545
2021-05-18,2.8918181818181816
2021-05-19,2.7431818181818177
2021-05-20,2.5945454545454543
2021-05-21,2.445909090909091
2021-05-22,2.297272727272727
2021-05-23,2.1486363636363635
2021-05-24,2.0
2021-05-25,2.33
2021-05-26,5.38
2021-05-27,5.38
2021-05-28,9.0
2021-05-29,10.3
2021-05-30,15.2
2021-05-31,15.3
2021-06-01,1.33
2021-06-02,1.06
2021-06-03,1.54
2021-06-04,6.75
2021-06-05,11.2
2021-06-06,13.6
2021-06-07,7.23
2021-06-08,2.14
2021-06-09,1.64
2021-06-10,1.64
2021-06-11,1.7
2021-06-12,-0.875
2021-06-13,-0.692
2021-06-14,1.17
2021-06-15,4.44
2021-06-16,17.1
2021-06-17,17.1
2021-06-18,17.0
2021-06-19,14.9
2021-06-20,4.73
2021-06-21,2.55
2021-06-22,-0.111
2021-06-23,-1.2
2021-06-24,-0.333
2021-06-25,0.286
2021-06-26,1.08
2021-06-27,0.364
2021-06-28,2.08
2021-06-29,2.89
2021-06-30,3.0
2021-07-01,4.0
2021-07-02,0.75
2021-07-03,1.6
2021-07-04,4.81
2021-07-05,0.188
2021-07-06,1.2
2021-07-07,7.33
2021-07-08,9.67
2021-07-09,13.0
2021-07-10,10.125
2021-07-11,7.25
2021-07-12,7.25
2021-07-13,5.95
2021-07-14,4.58
2021-07-15,0.5
2021-07-16,5.6
2021-07-17,7.08
2021-07-18,7.35
2021-07-19,9.81
2021-07-20,5.85
2021-07-21,10.9
2021-07-22,11.2
2021-07-23,10.342727272727272
2021-07-24,9.485454545454544
2021-07-25,8.628181818181817
2021-07-26,7.77090909090909
2021-07-27,6.913636363636363
2021-07-28,6.056363636363636
2021-07-29,5.199090909090908
2021-07-30,4.341818181818181
2021-07-31,3.4845454545454535
2021-08-01,2.627272727272726
2021-08-02,1.77
2021-08-03,1.77
2021-08-04,1.0
2021-08-05,4.0
2021-08-06,5.46
2021-08-07,-0.947
2021-08-08,1.0
2021-08-09,7.71
2021-08-10,8.08
2021-08-11,6.04
2021-08-12,13.8
2021-08-13,3.62
2021-08-14,6.3
2021-08-15,5.0
2021-08-16,10.2
2021-08-17,9.71
2021-08-18,12.4
2021-08-19,14.3
2021-08-20,14.3
2021-08-21,15.4
2021-08-22,4.1
2021-08-23,8.0
2021-08-24,7.86
2021-08-25,9.0
2021-08-26,9.94
2021-08-27,14.3
2021-08-28,22.4
2021-08-29,6.8
2021-08-30,12.2
2021-08-31,11.4
2021-09-01,11.3
2021-09-02,19.7
2021-09-03,17.1
2021-09-04,17.1
2021-09-05,18.5
2021-09-06,7.33
2021-09-07,8.29
2021-09-08,7.67
2021-09-09,6.26
2021-09-10,3.41
2021-09-11,7.25
2021-09-12,9.05
2021-09-13,13.2
2021-09-14,9.54
2021-09-15,11.7
2021-09-16,8.87
2021-09-17,9.55
2021-09-18,4.33
2021-09-19,3.42
2021-09-20,7.04
2021-09-21,8.55
2021-09-22,4.91
2021-09-23,8.64
2021-09-24,3.75
2021-09-25,3.7463636363636366
2021-09-26,3.7427272727272727
2021-09-27,3.7390909090909092
2021-09-28,3.7354545454545454
2021-09-29,3.731818181818182
2021-09-30,3.728181818181818
2021-10-01,3.7245454545454546
2021-10-02,3.7209090909090907
2021-10-03,3.7172727272727273
2021-10-04,3.7136363636363634
2021-10-05,3.71
2021-10-06,3.7063636363636365
2021-10-07,3.7027272727272726
2021-10-08,3.699090909090909
2021-10-09,3.6954545454545453
2021-10-10,3.691818181818182
2021-10-11,3.688181818181818
2021-10-12,3.6845454545454546
2021-10-13,3.6809090909090907
2021-10-14,3.6772727272727272
2021-10-15,3.6736363636363634
2021-10-16,3.67
2021-10-17,3.6663636363636365
2021-10-18,3.6627272727272726
2021-10-19,3.659090909090909
2021-10-20,3.6554545454545453
2021-10-21,3.651818181818182
2021-10-22,3.648181818181818
2021-10-23,3.6445454545454545
2021-10-24,3.6409090909090907
2021-10-25,3.637272727272727
2021-10-26,3.6336363636363633
2021-10-27,3.63
2021-10-28,3.6263636363636365
2021-10-29,3.6227272727272726
2021-10-30,3.619090909090909
2021-10-31,3.6154545454545453
2021-11-01,3.611818181818182
2021-11-02,3.608181818181818
2021-11-03,3.6045454545454545
2021-11-04,3.6009090909090906
2021-11-05,3.597272727272727
2021-11-06,3.5936363636363633
2021-11-07,3.59
2021-11-08,4.45
2021-11-09,3.7
2021-11-10,4.58
2021-11-11,9.46
2021-11-12,12.3
2021-11-13,16.4
2021-11-14,18.3
2021-11-15,19.7
2021-11-16,5.65
2021-11-17,8.26
2021-11-18,16.0
2021-11-19,8.96
2021-11-20,9.29
2021-11-21,6.76
2021-11-22,12.1
2021-11-23,12.0
2021-11-24,7.57
2021-11-25,14.7
2021-11-26,17.3
2021-11-27,11.9
2021-11-28,26.0
2021-11-29,17.4
2021-11-30,13.8
2021-12-01,20.4
2021-12-02,30.9
2021-12-03,33.199999999999996
2021-12-04,35.5
2021-12-05,37.8
2021-12-06,37.8
2021-12-07,16.4
2021-12-08,2.21
2021-12-09,5.61
2021-12-10,5.71
2021-12-11,6.62
2021-12-12,1.24
2021-12-13,0.783
2021-12-14,3.33
2021-12-15,1.67
2021-12-16,3.27
2021-12-17,6.33
2021-12-18,11.5
2021-12-19,9.71
2021-12-20,9.71
2021-12-21,14.1
2021-12-22,8.09
2021-12-23,2.54
2021-12-24,4.61
2021-12-25,3.0
2021-12-26,3.68
2021-12-27,1.94
2021-12-28,2.67
2021-12-29,2.48
2021-12-30,2.65
2021-12-31,2.65
2022-01-01,5.56
2022-01-02,7.89
2022-01-03,2.42
2022-01-04,1.78
2022-01-05,3.04
2022-01-06,3.81
2022-01-07,0.292
2022-01-08,4.45
2022-01-09,9.29
2022-01-10,10.5
2022-01-11,10.8
2022-01-12,20.2
2022-01-13,26.3
2022-01-14,9.78
2022-01-15,10.7
2022-01-16,16.9
2022-01-17,12.7
2022-01-18,4.95
2022-01-19,8.86
2022-01-20,8.0
2022-01-21,7.13
2022-01-22,5.0
2022-01-23,14.0
2022-01-24,14.5
2022-01-25,12.3
2022-01-26,15.4
2022-01-27,12.4
2022-01-28,18.1
2022-01-29,13.1
2022-01-30,8.07
2022-01-31,9.65
2022-02-01,2.82
2022-02-02,2.8
2022-02-03,7.14
2022-02-04,18.4
2022-02-05,20.1
2022-02-06,7.95
2022-02-07,12.5
2022-02-08,13.6
2022-02-09,9.91
2022-02-10,8.62
2022-02-11,9.15
2022-02-12,17.3
2022-02-13,12.9
2022-02-14,5.14
2022-02-15,1.24
2022-02-16,3.0
2022-02-17,3.6
2022-02-18,8.63
2022-02-19,10.8
2022-02-20,5.61
2022-02-21,2.79
2022-02-22,2.7734234234234236
2022-02-23,2.7568468468468468
2022-02-24,2.7402702702702704
